Site,Pond_Number,Treatment,Pond,Sample_Point,Conductivity ,Chlorophyll_a,pH,"Oxygen
",Nitrite,Nitrate,PhospJAte
JA,JA5,HSHN,JA_HSHN_P1,T0,40.8,33.85,8.32,13.97,0,0.146,2.5
JA,JA12,HSHN,JA_HSHN_P2,T0,18.98,19.25,8.38,10.43,0,0.165,0.09
JA,JA24,HSHN,JA_HSHN_P3,T0,16.19,11.08,8.2,8.6,0,0.116,0
JA,JA30,HSHN,JA_HSHN_P4,T0,17.41,46.45,8.8,11.46,0,0.127,0
PO,PO4,HSHN,PO_HSHN_P1,T0,32.2,4.551,4.2,11.13,0,0.446,0
PO,PO12,HSHN,PO_HSHN_P2,T0,30,63.72,5.76,13.1,0,0.567,0
PO,PO26,HSHN,PO_HSHN_P3,T0,25.2,25.92,6.29,3.33,0,0.23,0
PO,PO30,HSHN,PO_HSHN_P4,T0,31.3,24.8,5.45,5.7,0,0,0
EV,EV6,HSHN,EV_HSHN_P1,T0,38.5,211.3,10.07,21.38,0,0.508,0.63
EV,EV13,HSHN,EV_HSHN_P2,T0,45.9,501.8,10.47,0,0,0.234,7.6
EV,EV26,HSHN,EV_HSHN_P3,T0,43.2,122,9.15,2.88,0,0.096,6.8
EV,EV29,HSHN,EV_HSHN_P4,T0,47.7,465.2,9.85,16.19,0,0.067,7.2
JA,JA5,HSHN,JA_HSHN_P1,T2,41.2,61.005,7.76,11.75,,,
JA,JA12,HSHN,JA_HSHN_P2,T2,24.2,45.505,7.99,9.73,,,
JA,JA24,HSHN,JA_HSHN_P3,T2,18.99,83.84,7.95,7.71,,,
JA,JA30,HSHN,JA_HSHN_P4,T2,20.54,57.93,8.43,10.77,,,
PO,PO4,HSHN,PO_HSHN_P1,T2,49.6,7.719,3.41,6.35,,,
PO,PO12,HSHN,PO_HSHN_P2,T2,52.2,7.878,3.49,2.47,,,
PO,PO26,HSHN,PO_HSHN_P3,T2,35.8,42.07,6.35,0,,,
PO,PO30,HSHN,PO_HSHN_P4,T2,49.9,5.012,3.89,8.45,,,
EV,EV6,HSHN,EV_HSHN_P1,T2,130.4,27.33,7.64,0.77,,,
EV,EV26,HSHN,EV_HSHN_P3,T2,81,82.03,8.22,0,,,
EV,EV29,HSHN,EV_HSHN_P4,T2,113.2,39.21,7.9,0,,,
JA,JA4,LS,JA_LS_P1,T0,0.233,3.747,8.75,10.9,0,0,0
JA,JA8,LS,JA_LS_P2,T0,0.417,2.666,8.21,6.28,0,0.036,0
JA,JA16,LS,JA_LS_P3,T0,0.236,5.17,9.88,11.63,0,0,0.76
JA,JA25,LS,JA_LS_P4,T0,0.443,2.035,8.37,8.6,0,0,0
PO,PO7,LS,PO_LS_P1,T0,0.1772,10.66,7.08,9.98,0,0,0
PO,PO10,LS,PO_LS_P2,T0,0.1616,20.125,7.09,13.85,0,0,0
PO,PO17,LS,PO_LS_P3,T0,0.1447,8.231,7.1,8.94,0,0.257,0
PO,PO25,LS,PO_LS_P4,T0,0.1293,12.35,6.42,5.39,0,0.09,0
EV,EV5,LS,EV_LS_P1,T0,1.952,31.16,9.75,0.87,0,0.085,6.5
EV,EV9,LS,EV_LS_P2,T0,1.861,88.24,9.81,0.11,0,0.111,7.3
EV,EV15,LS,EV_LS_P3,T0,1.821,114.1,8.72,0.52,0,0.068,9
EV,EV23,LS,EV_LS_P4,T0,1.653,46.18,10.11,9.09,0,0,2.6
JA,JA4,LS,JA_LS_P1,T2,0.211,6.499,8.48,11.21,,,
JA,JA8,LS,JA_LS_P2,T2,0.432,12.35,7.99,8.02,,,
JA,JA16,LS,JA_LS_P3,T2,0.1734,5.279,9.95,12.56,,,
JA,JA25,LS,JA_LS_P4,T2,0.569,125.0675,8.21,8.5,,,
PO,PO7,LS,PO_LS_P1,T2,0.45,18.39,6.44,8.96,,,
PO,PO10,LS,PO_LS_P2,T2,0.27,94.86,6.96,9.7,,,
PO,PO17,LS,PO_LS_P3,T2,0.1246,28.58,6.45,6.45,,,
PO,PO25,LS,PO_LS_P4,T2,0.431,19.56,6.49,4.74,,,
EV,EV5,LS,EV_LS_P1,T2,1.936,14.04,8.37,6.09,,,
EV,EV9,LS,EV_LS_P2,T2,2.88,56.78,9.1,0.29,,,
EV,EV15,LS,EV_LS_P3,T2,3.27,67.36,8,0.13,,,
EV,EV23,LS,EV_LS_P4,T2,3.2,68.39,9.29,1.72,,,
JA,JA10,LSHN,JA_LSHN_P1,T0,0.423,10.08,8.78,11.04,0,0.11,0
JA,JA20,LSHN,JA_LSHN_P2,T0,0.245,9.099,9.01,9.41,0,0.11,0
JA,JA29,LSHN,JA_LSHN_P3,T0,0.264,0.313,8.65,10.73,0,0.134,0
JA,JA32,LSHN,JA_LSHN_P4,T0,0.1542,1.568,9.71,13.15,0,0.212,0
PO,PO9,LSHN,PO_LSHN_P1,T0,0.0434,27.06,6.39,6.65,0,0.128,0
PO,PO22,LSHN,PO_LSHN_P2,T0,0.042,48.28,6.71,13.92,0,0.378,0
PO,PO28,LSHN,PO_LSHN_P3,T0,0.1008,89.19,6.78,9.59,0,0.219,0
PO,PO32,LSHN,PO_LSHN_P4,T0,0.0695,14.55,6.36,14.93,0,0,0
EV,EV10,LSHN,EV_LSHN_P1,T0,0.854,68.48,9.58,1.66,0,0.235,0.67
EV,EV21,LSHN,EV_LSHN_P2,T0,1.788,230.6,9.33,0.82,0,0.175,13.7
EV,EV28,LSHN,EV_LSHN_P3,T0,0.855,19.89,9.36,1.13,0,0,1.6
EV,EV31,LSHN,EV_LSHN_P4,T0,1.027,36.26,9.92,0.7,0,0.169,7.6
JA,JA10,LSHN,JA_LSHN_P1,T2,0.283,13.59,8.52,13.08,,,
JA,JA20,LSHN,JA_LSHN_P2,T2,0.297,10.7095,9.39,9.9,,,
JA,JA29,LSHN,JA_LSHN_P3,T2,0.255,7.6465,8.45,10.31,,,
JA,JA32,LSHN,JA_LSHN_P4,T2,0.488,7.699,8.81,15.06,,,
PO,PO9,LSHN,PO_LSHN_P1,T2,0.254,716.3,6.91,14.4,,,
PO,PO22,LSHN,PO_LSHN_P2,T2,0.296,34.92,6.43,6.29,,,
PO,PO28,LSHN,PO_LSHN_P3,T2,0.28,154.9,6.39,11.53,,,
PO,PO32,LSHN,PO_LSHN_P4,T2,0.428,24.91,6.36,6.04,,,
EV,EV10,LSHN,EV_LSHN_P1,T2,1.461,53.59,8.36,0.36,,,
EV,EV21,LSHN,EV_LSHN_P2,T2,4.12,48.97,8.59,0.46,,,
EV,EV31,LSHN,EV_LSHN_P4,T2,1.284,30.41,8.84,0,,,
JA,JA2,MS,JA_MS_P1,T0,8.52,14.35,7.97,8.75,0,0.029,0
JA,JA9,MS,JA_MS_P2,T0,8.2,4.83,8.78,10.62,0,0,0
JA,JA18,MS,JA_MS_P3,T0,6.41,3.618,8.51,11.01,0,0,0
JA,JA23,MS,JA_MS_P4,T0,8.9,2.987,8.58,10.06,0,0.045,0
PO,PO1,MS,PO_MS_P1,T0,10.48,6.726,7.08,8.13,0,0,0
PO,PO8,MS,PO_MS_P2,T0,12.04,0.124,5.29,12.48,0,0.194,0
PO,PO19,MS,PO_MS_P3,T0,11.3,1.014,4.58,7.26,0,0,0
PO,PO24,MS,PO_MS_P4,T0,11.58,6.058,4.22,7.81,0,0,0
EV,EV2,MS,EV_MS_P1,T0,10.1,25.39,9,3.01,0,0.226,2.8
EV,EV8,MS,EV_MS_P2,T0,13.23,26.82,9.8,1.33,0,0.077,8.6
EV,EV18,MS,EV_MS_P3,T0,12.95,253.3,10.21,21.92,0,0.146,1.5
EV,EV24,MS,EV_MS_P4,T0,14.41,89.2,9.23,0,0,0.067,8.6
JA,JA2,MS,JA_MS_P1,T2,8.18,117.875,7.76,8.25,,,
JA,JA9,MS,JA_MS_P2,T2,9.68,38.89,8.04,9.3,,,
JA,JA18,MS,JA_MS_P3,T2,8.04,7.424,8.15,11.07,,,
JA,JA23,MS,JA_MS_P4,T2,9.23,13.06,8.28,9.7,,,
PO,PO1,MS,PO_MS_P1,T2,16.2,13.43,5.15,3.19,,,
PO,PO8,MS,PO_MS_P2,T2,21.66,38.98,4.99,0,,,
PO,PO19,MS,PO_MS_P3,T2,18.71,31.2,3.85,2.68,,,
PO,PO24,MS,PO_MS_P4,T2,20.35,9.237,3.82,5.62,,,
EV,EV2,MS,EV_MS_P1,T2,20.34,249.5,8.35,3.86,,,
EV,EV8,MS,EV_MS_P2,T2,41.9,32.71,8.11,1.76,,,
EV,EV18,MS,EV_MS_P3,T2,29,122.1,9.49,4.57,,,
EV,EV24,MS,EV_MS_P4,T2,43.4,83.46,8.47,0.23,,,
JA,JA3,MSHN,JA_MSHN_P1,T0,7.77,7.288,8.77,11.26,0,0.136,0
JA,JA7,MSHN,JA_MSHN_P2,T0,8.39,6.868,8.48,10.26,0,0.353,0
JA,JA15,MSHN,JA_MSHN_P3,T0,8.28,13.7,9.14,11.33,0,0.031,0.16
JA,JA19,MSHN,JA_MSHN_P4,T0,8.2,3.939,8.97,11.14,0,0.095,0
PO,PO2,MSHN,PO_MSHN_P1,T0,12.61,1.834,6.98,10.05,0,0.217,0
PO,PO6,MSHN,PO_MSHN_P2,T0,10.51,7.943,5.82,10.16,0,0.351,0
PO,PO15,MSHN,PO_MSHN_P3,T0,11.97,7.269,5.37,12.1,0,0.254,0
PO,PO20,MSHN,PO_MSHN_P4,T0,11.48,5.891,5.78,11.35,0,0.176,0
EV,EV3,MSHN,EV_MSHN_P1,T0,13.48,51.29,9.24,0.9,0,0.138,8.4
EV,EV16,MSHN,EV_MSHN_P2,T0,12.38,92.31,9.04,4.66,0,0.218,2.4
EV,EV20,MSHN,EV_MSHN_P3,T0,14,142.5,10.26,15.31,0,0.064,6.5
EV,EV27,MSHN,EV_MSHN_P4,T0,12.55,322.6,9.97,5.65,0,0.183,6.5
JA,JA3,MSHN,JA_MSHN_P1,T2,8.6,16.404,7.98,9.33,,,
JA,JA7,MSHN,JA_MSHN_P2,T2,8.55,7.72,8.03,9.73,,,
JA,JA15,MSHN,JA_MSHN_P3,T2,9.8,12.815,8.86,11.4,,,
JA,JA19,MSHN,JA_MSHN_P4,T2,8.48,14.0345,8.31,9.41,,,
PO,PO2,MSHN,PO_MSHN_P1,T2,19.7,8.655,4.4,3.07,,,
PO,PO6,MSHN,PO_MSHN_P2,T2,16.98,31.84,3.87,3.36,,,
PO,PO15,MSHN,PO_MSHN_P3,T2,21.2,33.95,4.84,5.13,,,
PO,PO20,MSHN,PO_MSHN_P4,T2,18.33,5.788,3.8,2.6,,,
EV,EV3,MSHN,EV_MSHN_P1,T2,26.8,56.73,8.67,0.7,,,
EV,EV16,MSHN,EV_MSHN_P2,T2,24.8,30.46,8.37,2.96,,,
EV,EV20,MSHN,EV_MSHN_P3,T2,41.2,82.62,8.77,4.38,,,
EV,EV27,MSHN,EV_MSHN_P4,T2,22.2,303.6,9.16,0,,,
